,area_title,fips_county,qualifying_area,criteria
0,"Grayson County, Kentucky",21085,msa_or_county,fossil_employment
1,"Grand Traverse County, Michigan",26055,msa_or_county,fossil_employment
2,"Macon, GA MSA",13021,msa_or_county,fossil_employment
3,"Macon, GA MSA",13079,msa_or_county,fossil_employment
4,"Macon, GA MSA",13169,msa_or_county,fossil_employment
5,"Macon, GA MSA",13207,msa_or_county,fossil_employment
6,"Macon, GA MSA",13289,msa_or_county,fossil_employment
7,"Fairbanks, AK MSA",02090,msa_or_county,fossil_employment
8,"Toole County, Montana",30101,msa_or_county,fossil_employment
9,"Webster County, Kentucky",21233,msa_or_county,fossil_employment
10,"Venango County, Pennsylvania",42121,msa_or_county,fossil_employment
11,"Shackelford County, Texas",48417,msa_or_county,fossil_employment
12,"Powell County, Kentucky",21197,msa_or_county,fossil_employment
13,"Elmira, NY MSA",36015,msa_or_county,fossil_employment
14,"Braxton County, West Virginia",54007,msa_or_county,fossil_employment
15,"Wheeler County, Texas",48483,msa_or_county,fossil_employment
16,"Terry County, Texas",48445,msa_or_county,fossil_employment
17,"Frio County, Texas",48163,msa_or_county,fossil_employment
18,"Baton Rouge, LA MSA",22005,msa_or_county,fossil_employment
19,"Baton Rouge, LA MSA",22033,msa_or_county,fossil_employment
20,"Baton Rouge, LA MSA",22037,msa_or_county,fossil_employment
21,"Baton Rouge, LA MSA",22047,msa_or_county,fossil_employment
22,"Baton Rouge, LA MSA",22063,msa_or_county,fossil_employment
23,"Baton Rouge, LA MSA",22077,msa_or_county,fossil_employment
24,"Baton Rouge, LA MSA",22091,msa_or_county,fossil_employment
25,"Baton Rouge, LA MSA",22121,msa_or_county,fossil_employment
26,"Baton Rouge, LA MSA",22125,msa_or_county,fossil_employment
27,"Covington County, Alabama",1039,msa_or_county,fossil_employment
28,"Crockett County, Texas",48105,msa_or_county,fossil_employment
29,"Anderson County, Texas",48001,msa_or_county,fossil_employment
30,"Penobscot County, Maine",23019,msa_or_county,fossil_employment
31,"Lincoln County, Mississippi",28085,msa_or_county,fossil_employment
32,"Duchesne County, Utah",49013,msa_or_county,fossil_employment
33,"Marion County, Illinois",17121,msa_or_county,fossil_employment
34,"White County, Illinois",17193,msa_or_county,fossil_employment
35,"New Madrid County, Missouri",29143,msa_or_county,fossil_employment
36,"Grimes County, Texas",48185,msa_or_county,fossil_employment
37,"Throckmorton County, Texas",48447,msa_or_county,fossil_employment
38,"Eastland County, Texas",48133,msa_or_county,fossil_employment
39,"Holmes County, Ohio",39075,msa_or_county,fossil_employment
40,"Pleasants County, West Virginia",54073,msa_or_county,fossil_employment
41,"Milam County, Texas",48331,msa_or_county,fossil_employment
42,"Muhlenberg County, Kentucky",21177,msa_or_county,fossil_employment
43,"Appling County, Georgia",13001,msa_or_county,fossil_employment
44,"Louisville-Jefferson County, KY-IN MSA",18019,msa_or_county,fossil_employment
