,area_title,geographic_level,State,msa_name,geoid,percent_fossil_employees,meets_fossil_threshold,local_area_unemployment,national_unemployment_rate_prev_year,meets_unemployment_criteria
15,"Grayson County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21085,0.29235880398671094,1,10.2,8.1,1
16,"Grayson County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21085,0.38635758060218495,1,8.4,7.4,1
17,"Grayson County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21085,0.43346906607119406,1,6.6,6.2,1
18,"Grayson County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21085,0.4136504653567736,1,6.6,5.3,1
20,"Grayson County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21085,0.22701475595913734,1,4.8,4.4,1
21,"Grayson County, Kentucky",county,Kentucky,West Kentucky nonmetropolitan area,21085,0.2146735698951888,1,4.8,3.9,1
24,"Grand Traverse County, Michigan",county,Michigan,Northwest Lower Peninsula of Michigan nonmetropolitan area,26055,0.5797901711761457,1,11.3,9.3,1
34,"Grand Traverse County, Michigan",county,Michigan,Northwest Lower Peninsula of Michigan nonmetropolitan area,26055,0.17322016282695307,1,8.7,3.7,1
194,"Macon, GA MSA",metropolitan_stat_area,Georgia,"Macon, GA",31420,0.17482703849392903,1,6.6,3.7,1
195,"Macon, GA MSA",metropolitan_stat_area,Georgia,"Macon, GA",31420,0.17482703849392903,1,6.6,3.7,1
196,"Macon, GA MSA",metropolitan_stat_area,Georgia,"Macon, GA",31420,0.17482703849392903,1,6.6,3.7,1
197,"Macon, GA MSA",metropolitan_stat_area,Georgia,"Macon, GA",31420,0.17482703849392903,1,6.6,3.7,1
198,"Macon, GA MSA",metropolitan_stat_area,Georgia,"Macon, GA",31420,0.17482703849392903,1,6.6,3.7,1
222,"Fairbanks, AK MSA",metropolitan_stat_area,Alaska,"Fairbanks, AK",21820,0.4621147904077001,1,5.6,5.3,1
223,"Fairbanks, AK MSA",metropolitan_stat_area,Alaska,"Fairbanks, AK",21820,0.4698834908771159,1,5.7,4.9,1
224,"Fairbanks, AK MSA",metropolitan_stat_area,Alaska,"Fairbanks, AK",21820,0.44932193235662543,1,5.2,4.4,1
